date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:23	32384/32384	---M--	200	added ('OK')	image/png	etag:%226215d76e-7e80%22	https://cdn.strawpoll.com/images/screenshots/create-poll-vote-dark-c.png	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/images/screenshots/create-poll-vote-dark-c.png	(from https://strawpoll.com/create/)
13:36:24	63321/63321	---M--	200	added ('OK')	image/png	etag:%226215d75e-f759%22	https://cdn.strawpoll.com/images/screenshots/create-poll-results-dark-c.png	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/images/screenshots/create-poll-results-dark-c.png	(from https://strawpoll.com/create/)
13:36:25	26596/26596	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-67e4%22	https://cdn.strawpoll.com/dist/fonts/inter-cyrillic-ext.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-cyrillic-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:25	16840/16840	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-41c8%22	https://cdn.strawpoll.com/dist/fonts/inter-cyrillic.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-cyrillic.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:26	11868/11868	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-2e5c%22	https://cdn.strawpoll.com/dist/fonts/inter-greek-ext.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-greek-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:27	21964/21964	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-55cc%22	https://cdn.strawpoll.com/dist/fonts/inter-greek.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-greek.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:28	8576/8576	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-2180%22	https://cdn.strawpoll.com/dist/fonts/inter-vietnamese.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-vietnamese.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:30	25/25	---M--	200	added ('OK')	text/plain	etag:%22627b8951-19%22	https://cdn.strawpoll.com/robots.txt		(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:30	37676/37676	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-932c%22	https://cdn.strawpoll.com/dist/fonts/inter-latin.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-latin.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
13:36:34	57136/57136	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-df30%22	https://cdn.strawpoll.com/dist/fonts/inter-latin-ext.woff2	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/fonts/inter-latin-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
